m_Ap [eV],\epsilon
1.400058382468096e-11,1.7076312726568494e-06
1.4327029534098293e-11,1.693781377783246e-06
1.466108684046983e-11,1.681211713217328e-06
1.5002933220192167e-11,1.6674095222448532e-06
1.5352750287804212e-11,1.6523230861291902e-06
1.571072389247449e-11,1.6377701934592329e-06
1.607704421673822e-11,1.6233323751714969e-06
1.645190587753661e-11,1.6085678513117027e-06
1.6835508029612008e-11,1.5949869949050293e-06
1.7228054471313922e-11,1.5791057482240018e-06
1.762975375287204e-11,1.563153294332686e-06
1.804081928719381e-11,1.5478320431063394e-06
1.8461469463245456e-11,1.5330281159222232e-06
1.8891927762076645e-11,1.517889030104659e-06
1.9332422875550434e-11,1.5016645435388063e-06
1.9783188827841624e-11,1.4851816576666112e-06
2.0244465099768016e-11,1.4689892108264298e-06
2.071649675602067e-11,1.4533668409722576e-06
2.1199534575360688e-11,1.4379667491812956e-06
2.169383518385182e-11,1.4203294784031277e-06
2.2199661191199525e-11,1.4032043290394577e-06
2.2717281330269028e-11,1.3872804987916866e-06
2.3246970599856455e-11,1.3708144988338854e-06
2.3789010410788907e-11,1.3540348775124205e-06
2.434368873543108e-11,1.336609990936061e-06
2.491130026067786e-11,1.3202043222718312e-06
2.5492146544514203e-11,1.303866310252058e-06
2.608653617622556e-11,1.2856694057130867e-06
2.669478494034329e-11,1.2682174967690751e-06
2.7317215984413847e-11,1.2519454487157913e-06
2.795415999067865e-11,1.2358847305414753e-06
2.8605955351757508e-11,1.2180721882042823e-06
2.927294835042825e-11,1.2005172341531948e-06
2.9955493343598227e-11,1.1843881130983787e-06
3.065395295056536e-11,1.1672504676264008e-06
3.1368698245668863e-11,1.149917744910105e-06
3.2100108955431815e-11,1.1329442961248293e-06
3.2848573660300535e-11,1.1171819351719236e-06
3.3614490001087757e-11,1.0994067669600697e-06
3.439826489022935e-11,1.082403953495986e-06
3.5200314727966895e-11,1.066219642148567e-06
3.602106562357081e-11,1.0495367429583553e-06
3.686095362172169e-11,1.032575651825933e-06
3.772042493417009e-11,1.0172856684853409e-06
3.8599936176797794e-11,1.0009797496541108e-06
3.949995461220655e-11,9.84267275297068e-07
4.042095839796318e-11,9.68147349489859e-07
4.136343684063286e-11,9.525375125938558e-07
4.232789065573562e-11,9.366578660545074e-07
4.331483223376412e-11,9.209578722778425e-07
4.43247859124041e-11,9.058436347091654e-07
4.5358288255102e-11,8.899370138458204e-07
4.6415888336127916e-11,8.748619332273158e-07
4.7498148032285145e-11,8.601648420211015e-07
4.8605642321421486e-11,8.446680898104882e-07
4.973895958790078e-11,8.306106886276285e-07
5.089870193519695e-11,8.157895598727791e-07
5.2085485505776764e-11,8.008926307209533e-07
5.329994080844104e-11,7.873874648126048e-07
5.4542713053298474e-11,7.726791019231922e-07
5.581446249454978e-11,7.584010910282435e-07
5.7115864781264465e-11,7.456363193582126e-07
5.84476113163365e-11,7.312872204763291e-07
5.981040962380957e-11,7.181538424651928e-07
6.120498372476715e-11,7.055828859950679e-07
6.263207452198706e-11,6.920459804457027e-07
